Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTIFA2,-2
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTIRL,-452
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTNED,1040
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTNEM,920
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTNSL,1398
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,INTVKL,1426
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,NPSHYD,615
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,NUCLEAR,2977
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,OCGT,2
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,OIL,0
FUELHH,2026-06-10T07:30:00Z,2026-06-10T07:00:00Z,2026-06-10,17,OTHER,1374
